造字,部件
,執水
,手舂
,
,卒欠
椊,木卒
,口咠
,
脧,
,禾占
,黃占
眵,目多
跔,足句
擳,手節
唚,
,
揕,手甚
腈,月青
吇,口子
綹,糸咎
迹,辶亦
岝,山乍
,水再
,食隹
,魚麻
,
,魚固
,魚旁
,魚參
,魚巴
,魚八
,魚賓
,魚畐
,
,魚尉
,魚虎
,魚犮
,
,魚由
,魚宗
,魚賁
,魚甫
,魚平
,魚勿
魠,
,魚土
,必鳥
,辟鳥
,
,兹鳥
鮗,魚冬
,魚畏
,魚代
,
